company,served_airports_pr_period,neigh_airports_pr_period,pair,airport_type,population,megapolis,tourist,distance_km,distance_km_squared,entry,entry_2
SHU,0,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
WZ,2,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
DP,4,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
7R,2,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
DRU,0,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
KAR,0,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,1.0,1
U6,6,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
KZN,0,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
RSJ,0,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
S7,22,1.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
Y7,4,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
R3,4,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
UVT,0,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
N4,5,3.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
FV,11,1.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
RSD,2,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
UT,13,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
SU,26,23.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,1.0,1
NWS,3,2.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
YC,4,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
A4,4,0.0,SVO_VOG,1,3561.0509684642257,2,1,928.1278214333345,861421.2529185876,0.0,0
AFL,9,7.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,1.0,0
SDM,4,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
HZ,2,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
AUL,0,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
5N,0,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
RT,0,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
SHU,0,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
WZ,2,1.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
DP,4,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
7R,2,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
DRU,0,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
KAR,0,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
U6,6,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
KZN,0,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
RSJ,0,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
S7,22,1.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
Y7,4,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
R3,4,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
UVT,0,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
N4,5,4.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
FV,11,1.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
RSD,2,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
UT,13,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
SU,26,22.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,1.0,0
NWS,3,2.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
YC,4,1.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
A4,4,0.0,SVO_UFA,2,3744.2256876422393,2,1,1180.457388128231,1393479.645186525,0.0,0
AFL,9,8.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
SDM,4,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
HZ,2,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
AUL,0,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
5N,0,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
RT,0,0.0,AER_SVO,2,2302.725341850391,1,2,1405.188162032538,1974553.7707163822,0.0,0
